REPORTE LABOS 2026 - Seguimiento por Cliente (ene-abr) | Montos ARS sin IVA | s/d Avanter marzo y feb de Colgate/MaxVision/SidusFarma/Ceoderma

Código,Programa,Laboratorio,Lab. Propio,Avanter Proveedor,FC POR AVANTER,Precio,Actualización,Status,ENERO TRX,ENERO % TRX MES,ENERO MONTO FC,ENERO MONTO X TRX,FEBRERO TRX,FEBRERO % TRX MES,FEBRERO MONTO FC,FEBRERO MONTO X TRX,MARZO TRX,MARZO % TRX MES,MARZO MONTO FC,MARZO MONTO X TRX,ABRIL TRX,ABRIL % TRX MES,ABRIL MONTO FC,ABRIL MONTO X TRX,MAYO TRX,MAYO % TRX MES,MAYO MONTO FC,MAYO MONTO X TRX,JUNIO TRX,JUNIO % TRX MES,JUNIO MONTO FC,JUNIO MONTO X TRX,JULIO TRX,JULIO % TRX MES,JULIO MONTO FC,JULIO MONTO X TRX,AGOSTO TRX,AGOSTO % TRX MES,AGOSTO MONTO FC,AGOSTO MONTO X TRX,SEPTIEMBRE TRX,SEPTIEMBRE % TRX MES,SEPTIEMBRE MONTO FC,SEPTIEMBRE MONTO X TRX,OCTUBRE TRX,OCTUBRE % TRX MES,OCTUBRE MONTO FC,OCTUBRE MONTO X TRX,NOVIEMBRE TRX,NOVIEMBRE % TRX MES,NOVIEMBRE MONTO FC,NOVIEMBRE MONTO X TRX,DICIEMBRE TRX,DICIEMBRE % TRX MES,DICIEMBRE MONTO FC,DICIEMBRE MONTO X TRX,ANUAL (ene-abr) TRX,ANUAL (ene-abr) % TRX MES,ANUAL (ene-abr) MONTO FC,ANUAL (ene-abr) MONTO X TRX
CLIENTE: ASTRAZENECA
5026,Bonos Descuento Haleon + Luar (Health Care),HALEON,SI,NO,,Valor fijo por operación,Fijo. Se ve con Health Care Group,PRODUCTIVO,,,,,,,871875.50,,,,,,,,952203.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1824078.52,
CLIENTE: LAZAR (nuevo 2026)
5300,Lazar (Fase 1 Startup),LAZAR,SI,NO,,Abono startup; luego % PVP con mínimo,Mensual,STARTUP,,,500000.00,,,,,,,,,,252,0.0386%,344079.51,1365.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,0.0098%,844079.51,3349.52
CLIENTE: PROVINCIA ART (nuevo 2026)
5310,Provincia ART,PROVINCIA ART,SI,NO,,"0,35% sobre monto vendido",Mensual,PRODUCTIVO,8166,0.8150%,1073509.30,131.46,,,,,8692,5.6952%,1293685.98,148.84,8849,1.3541%,1471007.21,166.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25707,0.9983%,3838202.49,149.31
CLIENTE: SERDATA (nuevo 2026)
5320,Serdata (Bonos),SERDATA,SI,NO,,Valor unitario por bono procesado,Mensual,PRODUCTIVO,,,,,76676,9.9984%,4544586.52,59.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76676,2.9777%,4544586.52,59.27
CLIENTE: AVANTER
5004,Programa TEVAcuidar (TEVA),TEVA,NO,NO,SI - ETICOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,PRODUCTIVO,147,0.0147%,10878.00,74.00,135,0.0176%,9990.00,74.00,,,,,150,0.0230%,13950.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,0.0168%,34818.00,80.60
5010,Bonos Loreal,LOREAL,NO,NO,SI - DINAMICAS - BONOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,PRODUCTIVO,91364,9.1180%,6760936.00,74.00,74721,9.7435%,5529354.00,74.00,,,,,67206,10.2844%,6250158.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233291,9.0599%,18540448.00,79.47
5011,Programa Beneficiarte (Ferring),FERRING,NO,NO,SI - ETICOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,PRODUCTIVO,453,0.0452%,33522.00,74.00,394,0.0514%,29156.00,74.00,,,,,484,0.0741%,45012.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1331,0.0517%,107690.00,80.91
5014,Programa Rossmore,ROSSMORE,NO,NO,SI - ETICOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,PRODUCTIVO,1549,0.1546%,114626.00,74.00,1437,0.1874%,106338.00,74.00,,,,,1683,0.2575%,156519.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4669,0.1813%,377483.00,80.85
5020,Bonos Eucerin,BEIERSDORF,NO,NO,SI - DINAMICAS - BONOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,PRODUCTIVO,42157,4.2072%,3119618.00,74.00,30505,3.9778%,2257370.00,74.00,,,,,29074,4.4491%,2703882.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101736,3.9509%,8080870.00,79.43
5022,Ofertas Casasco,CASASCO,NO,NO,SI - DINAMICAS - BONOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,PRODUCTIVO,34587,3.4517%,2559438.00,74.00,28811,3.7569%,2132014.00,74.00,,,,,25273,3.8675%,2350389.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88671,3.4435%,7041841.00,79.42
5023,Programa Farmaspen (Aspen),ASPEN,NO,NO,SI - ETICOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,PRODUCTIVO,1991,0.1987%,147334.00,74.00,1778,0.2318%,131572.00,74.00,,,,,2285,0.3497%,212505.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6054,0.2351%,491411.00,81.17
